City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,edinburgh of the seven seas,-37.0676,-12.3116,283.97,74,50,19.15,SH,1691160206
84,barreiro do jaiba,-15.6167,-43.6,305.75,20,0,1.9,BR,1691160207
85,montmagny,48.9734,2.3469,296.38,60,75,4.63,FR,1691160208
86,hithadhoo,-0.6,73.0833,300.35,78,63,2.46,MV,1691159779
87,georgetown,5.4112,100.3354,303.12,79,20,3.09,MY,1691160101
88,barghat,22.0333,79.7167,295.45,94,100,2.53,IN,1691160210
89,isafjordur,66.0755,-23.124,285.17,71,40,3.09,IS,1691160211
90,remire-montjoly,4.9167,-52.2667,305.17,58,20,2.06,GF,1691160211
91,playa vicente,17.8333,-95.8167,298.07,92,100,2.48,MX,1691160212
92,nabire,-3.3667,135.4833,296.3,95,100,0.99,ID,1691160212
93,nizhnyaya poyma,56.1622,97.1933,288.94,93,15,2.35,RU,1691159715
94,mount isa,-20.7333,139.5,290.02,59,100,2.06,AU,1691159738
95,klyuchi,52.2667,79.1667,297.47,49,91,3.28,RU,1691159753
96,sisimiut,66.9395,-53.6735,280.0,82,100,3.19,GL,1691160216
97,anta,25.15,76.3,298.96,84,100,4.2,IN,1691160217
98,albany,42.6001,-73.9662,296.93,83,91,1.34,US,1691159921
99,lihue,21.9789,-159.3672,298.92,82,20,6.17,US,1691159721
100,mar del plata,-38.0023,-57.5575,286.16,35,0,5.66,AR,1691159942
101,uturoa,-16.7333,-151.4333,299.02,74,12,5.31,PF,1691160219
102,shingu,33.7333,135.9833,298.65,90,18,1.13,JP,1691159960
103,thompson,55.7435,-97.8558,291.24,82,100,1.54,CA,1691159653
104,puerto ayora,-0.7393,-90.3518,300.13,98,27,1.34,EC,1691159490
105,khandyga,62.6667,135.6,286.62,75,31,1.62,RU,1691160222
106,southport,53.6478,-3.0065,292.86,60,40,8.23,GB,1691160223
107,rongelap,11.1635,166.8941,301.6,78,100,6.28,MH,1691160224
108,susuman,62.7833,148.1667,279.81,70,63,2.35,RU,1691159626
109,viedma,-40.8135,-62.9967,285.92,34,0,7.83,AR,1691159985
110,atar,20.5169,-13.0499,317.65,7,35,7.7,MR,1691160225
111,puerto natales,-51.7236,-72.4875,275.92,83,100,4.97,CL,1691160226
112,mariehamn,60.0973,19.9348,293.07,83,75,4.12,AX,1691160226
113,keelung,25.1283,121.7419,303.09,86,100,8.71,TW,1691160227
114,coquimbo,-29.9533,-71.3436,287.0,94,100,1.54,CL,1691159980
115,bredasdorp,-34.5322,20.0403,292.12,64,4,1.73,ZA,1691160228
116,tierralta,8.1736,-76.0592,302.59,77,56,0.51,CO,1691160228
117,vadso,70.0744,29.7487,292.64,82,75,6.69,NO,1691160229
118,saipan,15.1355,145.701,301.54,100,20,2.24,MP,1691159710
119,sandnessjoen,66.0217,12.6316,288.44,77,75,3.09,NO,1691160230
120,mikuni,36.2171,136.1519,302.1,83,14,2.61,JP,1691160230
121,yulinshi,38.2906,109.7494,298.04,65,99,1.74,CN,1691160231
122,poronaysk,49.2167,143.1167,286.33,91,57,1.37,RU,1691160236
123,ust'-ilimsk,58.0006,102.6619,286.79,97,71,2.97,RU,1691160237
124,wailua homesteads,22.0669,-159.378,298.59,84,20,6.17,US,1691159711
125,oriximina,-1.7656,-55.8661,309.14,32,5,1.91,BR,1691160171
126,chonchi,-42.6128,-73.8092,280.44,77,10,1.14,CL,1691159677
127,zindah jan,34.3426,61.7468,306.42,14,0,13.05,AF,1691159849
128,cruz del eje,-30.7264,-64.8039,297.1,38,0,1.98,AR,1691160240
129,ostersund,63.1792,14.6357,290.16,67,0,8.75,SE,1691160240
130,wynyard,-41.0,145.7167,282.24,87,100,7.01,AU,1691160241
131,zaysan,47.4667,84.8667,296.53,41,0,3.67,KZ,1691160242
132,saint-julien-les-villas,48.2667,4.1,292.13,68,75,6.69,FR,1691160243
133,guerrero negro,27.9769,-114.0611,294.51,72,3,6.61,MX,1691159710
134,constitucion,-35.3333,-72.4167,286.58,44,3,2.32,CL,1691160244
135,sinabang,2.4803,96.3801,300.47,77,100,1.17,ID,1691159700
136,richards bay,-28.783,32.0377,293.79,67,3,6.82,ZA,1691159675
137,missao velha,-7.2497,-39.1431,302.42,51,0,0.0,BR,1691160246
138,smithers,54.7804,-127.1743,281.33,100,20,1.03,CA,1691160246
139,tolanaro,-25.0319,46.9987,295.19,64,40,8.23,MG,1691159758
140,mantua,45.1667,10.7833,301.73,50,98,6.55,IT,1691160247
141,invercargill,-46.4,168.35,277.05,97,61,0.89,NZ,1691160248
142,kabalo,-6.05,26.9167,306.29,26,52,3.22,CD,1691160248
143,forster,-32.1667,152.5167,282.25,98,100,3.59,AU,1691160249
144,chake chake,-5.2459,39.7666,297.63,80,95,6.46,TZ,1691160249
145,minas de marcona,-15.2119,-75.1103,289.25,61,13,2.67,PE,1691159850
146,avarua,-21.2078,-159.775,295.18,78,96,2.57,CK,1691160250
147,usinsk,65.9939,57.5281,299.76,49,43,7.01,RU,1691159889
148,peterhead,57.5058,-1.7981,289.37,69,98,6.09,GB,1691160251
149,bandon,51.7469,-8.7425,287.92,79,100,4.19,IE,1691160252
150,crane,31.3974,-102.3501,302.87,46,4,8.38,US,1691160252
151,coahuayana de hidalgo,18.7,-103.6583,300.02,83,99,0.73,MX,1691160253
152,fale old settlement,-9.3852,-171.2468,301.22,72,89,5.0,TK,1691159884
153,saudarkrokur,65.7461,-19.6394,284.99,67,50,3.56,IS,1691159965
154,borzya,50.3833,116.5167,285.75,85,100,1.87,RU,1691160255
155,neiafu,-18.65,-173.9833,296.53,83,100,4.12,TO,1691159746
156,karratha,-20.7377,116.8463,295.75,59,0,3.28,AU,1691160261
157,mikhaylov,54.2292,39.0186,300.29,58,12,3.32,RU,1691160262
158,zemio,5.0314,25.1361,294.16,98,100,1.68,CF,1691160263
159,aparri,18.3333,121.6167,300.57,72,100,4.27,PH,1691160263
160,bocas del toro,9.3333,-82.25,300.96,75,50,2.72,PA,1691160264
161,kondratovo,57.9804,56.1066,300.31,50,0,4.0,RU,1691160264
162,burela de cabo,43.65,-7.4,292.49,63,2,4.01,ES,1691160265
163,olonkinbyen,70.9221,-8.7187,276.9,90,100,10.93,SJ,1691160265
164,qurayyat,31.3318,37.3428,312.25,11,0,6.17,SA,1691160266
165,jamestown,42.097,-79.2353,296.79,78,75,3.09,US,1691160139
166,haiku-pauwela,20.9219,-156.3051,297.06,81,20,5.66,US,1691159868
167,iqaluit,63.7506,-68.5145,282.98,76,75,2.06,CA,1691160268
168,praia da vitoria,38.7333,-27.0667,299.68,69,20,4.99,PT,1691160269
169,khorixas,-20.3667,14.9667,301.61,12,0,1.39,NA,1691160269
170,lesnoy,57.6198,63.0784,294.07,83,72,1.82,RU,1691160270
171,san patricio,28.017,-97.5169,304.77,52,12,5.55,US,1691160270
172,tiksi,71.6872,128.8694,276.66,96,100,1.61,RU,1691160271
173,leninskoye,41.7589,69.3864,302.43,16,0,3.43,KZ,1691160271
174,betare oya,5.6,14.0833,298.28,76,81,1.5,CM,1691160272
